text,label
FMO3 and TMAO have emerged as key components of a complex axis integrating diet and the gut microbiome with atherosclerosis<|multi_cit|> [SEP] TMAO was subsequently shown to be both proatherogenic and associated with cardiovascular risks.9 These findings raise the possibility that other dietary nutrients possessing a trimethylamine structure may also generate TMAO from gut microbiota and promote accelerated atherosclerosis. (a) Structure of carnitine and scheme of carnitine and choline metabolism to TMAO. L-Carnitine and choline (are both dietary trimethylamines that can be metabolized by microbiota to TMA. TMA is then further oxidized to TMAO by flavin monooxygenases (FMOs).,NOT_ACCURATE
"In apoliprotein E-deficient mice fed a diet with  -carnitine, the promotion of atherosclerosis was also mediated by a microbiota-dependent mechanism (<|cit|>). [SEP] Chronic dietary L-carnitine supplementation in mice significantly altered cecal microbial composition, markedly enhanced synthesis of TMA/TMAO, and increased atherosclerosis, but not following suppression of intestinal microbiota.",NOT_ACCURATE
"Dietary L-carnitine and choline, compounds abundant in red meat, are metabolized into trimethylamine-N-oxide (TMAO) by way of some normal gut commensals; in mice TMAO enhances atherosclerosis through disrupting cholesterol metabolism and foam-cell macrophage activity [<|cit|>]. [SEP] Chronic dietary L-carnitine supplementation in mice significantly altered cecal microbial composition, markedly enhanced synthesis of TMA/TMAO, and increased atherosclerosis, but not following suppression of intestinal microbiota. Moreover, dietary supplementation with TMAO directly promoted a similar reduction in RCT. These results are consistent with a gut microbiota dependent mechanism whereby generation of TMAO impairs RCT, potentially contributing to the observed pro-atherosclerotic phenotype of these interventions.",ACCURATE
"While higher plasma levels of  -carnitine, in association with TMAO, are positively correlated with cardiovascular events in humans, intriguingly, omnivores produce more TMAO from dietary  -carnitine than vegans or vegetarians (<|cit|>). [SEP] Omnivorous subjects are shown to produce significantly more TMAO than vegans/vegetarians following ingestion of L-carnitine through a microbiota-dependent mechanism.",ACCURATE
"TMAO could be derived from increased consumption of meat (<|cit|>) [SEP] Herein we demonstrate that intestinal microbiota metabolism of dietary L-carnitine, a trimethylamine abundant in red meat, also produces TMAO and accelerates atherosclerosis. Omnivorous subjects are shown to produce significantly more TMAO than vegans/vegetarians following ingestion of L-carnitine through a microbiota-dependent mechanism. They also suggest a new nutritional pathway in CVD pathogenesis that involves dietary L-carnitine, the intestinal microbial community, and production of the pro-atherosclerotic metabolite TMAO. The present studies also suggest a novel mechanism for the observed relationship between dietary red meat ingestion and accelerated atherosclerosis. The differences observed in TMAO production following an “L-carnitine challenge” within omnivore versus vegan subjects is striking, consistent with the observed differences in microbial community composition. Recent reports have shown significant differences in microbial communities among vegetarians/vegans versus omnivores 50. Furthermore, our studies have public health relevance as carnitine is a common over-the-counter dietary supplement and additive. Our results suggest the safety of chronic L-carnitine supplementation should be examined, because high amounts of orally ingested carnitine may under some conditions prime our gut microbiota with enhanced capacity to produce TMAO, and potentially promote atherosclerosis.",ACCURATE
"The microbiome can also contribute to the development of atherosclerotic vascular disease<|multi_cit|>. [SEP] Chronic dietary L-carnitine supplementation in mice significantly altered cecal microbial composition, markedly enhanced synthesis of TMA/TMAO, and increased atherosclerosis, but not following suppression of intestinal microbiota.",ACCURATE
"Metabolites of dietary phospholipids and nutrients produced by gut flora and found in the systemic circulation contribute to vascular inflammation and atherosclerosis<|multi_cit|>. [SEP] 5c). Interestingly, an even higher increase in plasma L-carnitine levels were noted in mice supplemented with L-carnitine on the antibiotic arm of the study (presumably as a result of the reduced capacity of the microbiota to catabolize carnitine), which failed to show enhanced atherosclerosis. TMA is rapidly further oxidized by hepatic flavin monooxygenases to form trimethylamine-N-oxide (TMAO).",ACCURATE
"Prevotella-dominated healthy omnivore individuals were recently reported to have increased basal levels of serum TMAO (trimethylamine N-oxide), a product of inflammation linked to atherogenesis, compared to Bacteroides-dominated healthy individuals (<|cit|>). [SEP] Several bacterial taxa remained significantly associated with plasma TMAO levels after false discovery rate (FDR) adjustment for multiple comparisons (Supplementary Fig. 8). Intestinal microbiota metabolism of choline/phosphatidylcholine produces trimethylamine (TMA), which is further metabolized to a proatherogenic species, trimethylamine-N-oxide (TMAO).",ACCURATE
"The effect of the microbiome on atherosclerosis, glucose homeostasis and adiposity has been attributed, in part, to circulating metabolites such as trimethylamine-oxide and short-chain fatty acids (SCFAs) produced by gut bacteria<|multi_cit|>. [SEP] Herein we demonstrate that intestinal microbiota metabolism of dietary L-carnitine, a trimethylamine abundant in red meat, also produces TMAO and accelerates atherosclerosis. Choline, a trimethylamine and part of the head group of phosphatidylcholine, is metabolized by gut microbiota to produce an intermediate compound known as trimethylamine (TMA) (Fig.",NOT_ACCURATE
"recent mouse studies [<|cit|>] investigating how consumption of red meat may accelerate cardiovascular disease and inflammation in humans [SEP] (e) Stable isotope dilution LC/MS/MS time course measurements stable isotope (d3) labeled TMAO and carnitine, in plasma collected from sequential venous blood draws at noted times. Herein we examine the gut microbiota-dependent metabolism of L-carnitine to produce TMAO in both rodents and humans (omnivores and vegans).",ACCURATE
